index_name,asset,weight
basket 1,Crypto.BCH/USD,22
basket 1,Crypto.USDC/USD,33
basket 1,Crypto.USDT/USD,44
basket 1,FX.USD/JPY,55
basket 1,Metal.XAU/USD,33
tothemoon,Crypto.BCH/USD,99
tothemoon,Crypto.SOL/USD,1
major market,Crypto.BCH/USD,23
major market,Equity.US.NFLX/USD,23
major market,Crypto.USDC/USD,24
major market,Crypto.LUNA/USD,43
new basket,Crypto.BCH/USD,34
new basket,Equity.US.AAPL/USD,43
demo-basket,Crypto.BCH/USD,23
demo-basket,Crypto.LTC/USD,34
demo-basket,Equity.US.AAPL/USD,33
