Market,Value,Confidence
Crypto.BCH/USD,300.91785,0.620405
Crypto.LTC/USD,0.0,0.0
Equity.US.AAPL/USD,162.49,0.02
Equity.US.TSLA/USD,917.3414600000001,39.459270000000004
Equity.US.QQQ/USD,2.0,1.0
Equity.US.SPY/USD,437.91,0.05
Equity.US.GOOG/USD,2.0,1.0
Equity.US.AMC/USD,12.667480000000001,4.91375
Equity.US.GME/USD,105.30000000000001,0.68
Equity.US.AMZN/USD,2850.76,0.76
Equity.US.NFLX/USD,395.58000000000004,0.22000000000000003
Crypto.BTC/USD,35845.407,29.597
Crypto.ETH/USD,2525.3508500000003,1.22406
Crypto.SOL/USD,103.4325,0.0565
Crypto.SRM/USD,2.3186,0.001
Crypto.USDC/USD,1.0,0.00030000000000000003
Crypto.BNB/USD,360.665,0.145
Crypto.DOGE/USD,0.134764,8.900000000000001e-05
Crypto.USDT/USD,1.0001,0.00030000000000000003
Crypto.LUNA/USD,59.013,0.012
FX.EUR/USD,1.13446,4e-05
FX.USD/JPY,113.691,0.006
FX.GBP/USD,1.35549,4e-05
Metal.XAU/USD,1833.905,0.275
Equity.US.GE/USD,96.38000000000001,0.09000000000000001
Crypto.MER/USD,0.16483965,0.00145465
Crypto.FTT/USD,37.0131,0.0286
Crypto.SBR/USD,0.0852969,0.0002871
Crypto.HXRO/USD,0.35783,0.0032
Crypto.RAY/USD,3.9794,0.0039000000000000003
Crypto.COPE/USD,0.49865000000000004,0.00495
Crypto.MIR/USD,1.3653,0.0014
Crypto.SNY/USD,1.84525,0.00915
Crypto.MNGO/USD,0.1713291,0.0005805
FX.USD/CHF,0.9120900000000001,9e-05
FX.USD/HKD,7.78659,0.00035000000000000005
FX.USD/CNH,6.341550000000001,0.0008500000000000001
FX.USD/SGD,1.34539,0.00013000000000000002
FX.USD/CAD,1.2583300000000002,8e-05
FX.NZD/USD,0.6713,8e-05
FX.USD/MXN,20.483,0.0044
FX.USD/ZAR,15.108400000000001,0.0074
FX.AUD/USD,0.7175,6.000000000000001e-05
FX.USD/RUB,77.71525000000001,0.04225
Crypto.ATOM/USD,31.3515,0.0285
Crypto.ADA/USD,1.077,0.001
Crypto.DOT/USD,18.107,0.018000000000000002
Crypto.MSOL/USD,106.2835,1.4825
Crypto.ORCA/USD,2.818,0.3789
Crypto.PAI/USD,0.0,0.0
Crypto.UST/USD,1.0010000000000001,0.00030000000000000003
Crypto.PORT/USD,1.1723000000000001,0.009300000000000001
Crypto.ALGO/USD,0.921,0.001
Crypto.AVAX/USD,61.6985,0.0285
Crypto.SCNSOL/USD,0.0,0.0
Crypto.SLND/USD,2.6841,0.049
Crypto.JET/USD,0.36081865,0.00125675
Crypto.FIDA/USD,1.51695,0.00235
Crypto.MATIC/USD,1.602,0.001
Crypto.STSOL/USD,105.6085,0.3745
